ID,ALT,BAR,FRI,HUN,PAT,PRICE,RAIN,RES,TYPE,EST,GOAL
1,YES,NO,NO,YES,SOME,$$$,NO,YES,FRENCH,0-10,YES
2,YES,NO,NO,YES,FULL,$,NO,NO,THAI,30-60,NO
3,NO,YES,NO,NO,SOME,$,NO,NO,BURGER,0-10,YES
4,YES,NO,YES,YES,FULL,$,YES,NO,THAI,10-30,YES
5,YES,NO,YES,NO,FULL,$$$,NO,YES,FRENCH,>60,NO
6,NO,YES,NO,YES,SOME,$$,YES,YES,ITALIAN,0-10,YES
7,NO,YES,NO,NO,NONE,$,YES,NO,BURGER,0-10,NO
8,NO,NO,NO,YES,SOME,$$,YES,YES,THAI,0-10,YES
9,NO,YES,YES,NO,FULL,$,YES,NO,BURGER,>60,NO
10,YES,YES,YES,YES,FULL,$$$,NO,YES,ITALIAN,10-30,NO
11,NO,NO,NO,NO,NONE,$,NO,NO,THAI,0-10,NO
12,YES,YES,YES,YES,FULL,$,NO,NO,BURGER,30-60,YES